LG,WR,LR,WF,FL,FU,BW,is_resonant,in_target_window,source
6.5,12.0,3.3,2.0,6.11,8.31,2.2,1,1,original
7.5,12.0,3.3,3.1,5.75,7.95,2.2,1,1,original
7.0,12.0,3.0,3.2,5.97,8.16,2.1900000000000004,1,1,original
7.0,12.0,3.0,3.0,5.64,7.83,2.1900000000000004,1,1,original
7.0,11.0,3.3,2.0,6.24,8.43,2.1899999999999995,1,1,original
7.0,12.25,3.3,2.3,5.74,7.93,2.1899999999999995,1,1,original
6.5,12.5,3.3,3.9,5.2,7.39,2.1899999999999995,1,1,original
6.0,12.5,3.0,3.2,5.2,7.39,2.1899999999999995,1,1,original
7.0,11.0,3.3,2.4,6.22,8.4,2.1800000000000006,1,1,original
7.5,12.0,3.3,2.9,5.8,7.98,2.1800000000000006,1,1,original
7.0,11.0,3.3,2.1,6.25,8.43,2.1799999999999997,1,1,original
7.0,11.0,3.3,2.3,6.19,8.37,2.179999999999999,1,1,original
7.0,12.25,3.3,2.6,5.85,8.02,2.17,1,1,original
7.0,11.75,3.3,2.5,5.92,8.09,2.17,1,1,original
7.0,11.0,3.3,2.8,6.09,8.26,2.17,1,1,original
6.5,11.5,3.3,2.4,6.16,8.32,2.16,1,1,original
7.0,12.5,3.3,3.2,5.54,7.7,2.16,1,1,original
7.5,12.5,3.0,2.8,5.58,7.74,2.16,1,1,original
7.5,11.0,3.3,2.0,6.15,8.3,2.1500000000000004,1,1,original
7.5,11.0,3.3,2.7,6.02,8.17,2.1500000000000004,1,1,original
6.5,12.5,3.3,4.6,5.01,7.16,2.1500000000000004,1,1,original
7.5,12.0,3.3,3.2,5.74,7.89,2.1499999999999995,1,1,original
7.5,10.75,3.3,2.9,6.1,8.24,2.1400000000000006,1,1,original
7.5,11.0,3.3,2.6,6.09,8.22,2.130000000000001,1,1,original
6.5,12.5,3.3,4.2,5.14,7.27,2.13,1,1,original
7.0,12.0,3.3,3.7,5.66,7.79,2.13,1,1,original
5.5,12.5,3.0,3.7,4.98,7.11,2.13,1,1,original
6.5,12.5,3.0,2.8,5.42,7.55,2.13,1,1,original
6.5,12.5,3.0,2.2,5.71,7.83,2.12,1,1,original
7.5,11.75,3.3,2.0,5.87,7.99,2.12,1,1,original
6.5,12.5,3.0,3.9,5.25,7.37,2.12,1,1,original
6.5,12.5,3.3,4.5,4.93,7.04,2.1100000000000003,1,1,original
7.5,12.0,3.3,3.5,5.76,7.87,2.1100000000000003,1,1,original
7.0,12.0,3.3,3.1,5.84,7.95,2.1100000000000003,1,1,original
6.5,12.0,3.3,2.5,6.05,8.16,2.1100000000000003,1,1,original
7.0,12.5,3.3,3.4,5.6,7.71,2.1100000000000003,1,1,original
7.0,12.5,3.3,3.3,5.6,7.71,2.1100000000000003,1,1,original
7.5,11.5,3.3,2.6,6.0,8.11,2.1099999999999994,1,1,original
7.0,11.0,3.3,2.2,6.24,8.34,2.0999999999999996,1,1,original
5.0,11.25,3.3,2.2,6.9,9.0,2.0999999999999996,1,1,original
7.5,11.75,3.3,3.0,5.93,8.03,2.0999999999999996,1,1,original
6.5,12.5,3.3,4.3,5.11,7.21,2.0999999999999996,1,1,original
6.0,12.5,3.0,3.9,4.92,7.02,2.0999999999999996,1,1,original
6.5,12.5,3.0,2.5,5.46,7.56,2.0999999999999996,1,1,original
7.5,11.0,3.3,2.9,6.06,8.15,2.0900000000000007,1,1,original
7.0,12.0,3.3,2.9,5.88,7.97,2.09,1,1,original
7.0,12.0,3.0,2.5,5.66,7.75,2.09,1,1,original
7.5,11.25,3.3,2.2,5.99,8.08,2.09,1,1,original
7.5,10.75,3.3,2.1,6.23,8.32,2.09,1,1,original
7.5,12.25,3.3,2.9,5.71,7.79,2.08,1,1,original
7.5,12.5,3.0,2.7,5.76,7.84,2.08,1,1,original
7.5,11.25,3.3,2.4,6.04,8.12,2.079999999999999,1,1,original
